school_name_url,district_name_url,District_Name,school_short
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/eastbridgewater.xml#schools'>Gordon W Mitchell</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/eastbridgewater.xml'>East Bridgewater Public Schools</a>,East Bridgewater Public Schools,"Gordon W Mitchell, eastbridgewater"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/eastbridgewater.xml#schools'>East Bridgewater JR./SR. High School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/eastbridgewater.xml'>East Bridgewater Public Schools</a>,East Bridgewater Public Schools,"East Bridgewater JR./SR. High School, eastbridgewater"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/eastlongmeadow.xml#schools'>Mapleshade</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/eastlongmeadow.xml'>East Longmeadow Public Schools</a>,East Longmeadow Public Schools,"Mapleshade, eastlongmeadow"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/eastlongmeadow.xml#schools'>Mountain View</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/eastlongmeadow.xml'>East Longmeadow Public Schools</a>,East Longmeadow Public Schools,"Mountain View, eastlongmeadow"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/eastlongmeadow.xml#schools'>Birchland Park</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/eastlongmeadow.xml'>East Longmeadow Public Schools</a>,East Longmeadow Public Schools,"Birchland Park, eastlongmeadow"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/eastlongmeadow.xml#schools'>East Longmeadow High</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/eastlongmeadow.xml'>East Longmeadow Public Schools</a>,East Longmeadow Public Schools,"East Longmeadow High, eastlongmeadow"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/eastham.xml#schools'>Eastham Elementary</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/eastham.xml'>Eastham Public Schools</a>,Eastham Public Schools,"Eastham Elementary, eastham"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/easthampton.xml#schools'>Center School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/easthampton.xml'>Easthampton Public Schools</a>,Easthampton Public Schools,"Center School, easthampton"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/easthampton.xml#schools'>Maple</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/easthampton.xml'>Easthampton Public Schools</a>,Easthampton Public Schools,"Maple, easthampton"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/easthampton.xml#schools'>Neil A Pepin</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/easthampton.xml'>Easthampton Public Schools</a>,Easthampton Public Schools,"Neil A Pepin, easthampton"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/easthampton.xml#schools'>White Brook Middle School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/easthampton.xml'>Easthampton Public Schools</a>,Easthampton Public Schools,"White Brook Middle School, easthampton"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/easthampton.xml#schools'>Easthampton High</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/easthampton.xml'>Easthampton Public Schools</a>,Easthampton Public Schools,"Easthampton High, easthampton"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/easton.xml#schools'>H H Richardson School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/easton.xml'>Easton Public Schools</a>,Easton Public Schools,"H H Richardson School, easton"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/easton.xml#schools'>F L Olmsted</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/easton.xml'>Easton Public Schools</a>,Easton Public Schools,"F L Olmsted, easton"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/easton.xml#schools'>Easton Middle School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/easton.xml'>Easton Public Schools</a>,Easton Public Schools,"Easton Middle School, easton"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/easton.xml#schools'>Oliver Ames High</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/easton.xml'>Easton Public Schools</a>,Easton Public Schools,"Oliver Ames High, easton"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/edgartown.xml#schools'>Edgartown Elementary</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/edgartown.xml'>Edgartown Public Schools</a>,Edgartown Public Schools,"Edgartown Elementary, edgartown"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/edwardmkennedyacademyforhealthcareers.xml#schools'>Edward M. Kennedy Academy for Health Careers (Hora</a>,"<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/edwardmkennedyacademyforhealthcareers.xml'>Edward M. Kennedy Academy for Health Careers, Boston</a>","Edward M. Kennedy Academy for Health Careers, Boston","Edward M. Kennedy Academy for Health Careers (Hora, edwardmkennedyacademyforhealthcareers"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/erving.xml#schools'>Erving Elementary</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/erving.xml'>Erving Public Schools</a>,Erving Public Schools,"Erving Elementary, erving"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/essexagricultural.xml#schools'>Essex Agricultural and Technical Institute</a>,"<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/essexagricultural.xml'>Essex Agricultural, Hathorne</a>","Essex Agricultural, Hathorne","Essex Agricultural and Technical Institute, essexagricultural"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/everett.xml#schools'>Sumner G. Whittier School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/everett.xml'>Everett Public Schools</a>,Everett Public Schools,"Sumner G. Whittier School, everett"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/everett.xml#schools'>Webster School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/everett.xml'>Everett Public Schools</a>,Everett Public Schools,"Webster School, everett"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/everett.xml#schools'>Madeline English School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/everett.xml'>Everett Public Schools</a>,Everett Public Schools,"Madeline English School, everett"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/everett.xml#schools'>George Keverian School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/everett.xml'>Everett Public Schools</a>,Everett Public Schools,"George Keverian School, everett"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/everett.xml#schools'>Devens School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/everett.xml'>Everett Public Schools</a>,Everett Public Schools,"Devens School, everett"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/everett.xml#schools'>Lafayette School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/everett.xml'>Everett Public Schools</a>,Everett Public Schools,"Lafayette School, everett"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/everett.xml#schools'>Parlin School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/everett.xml'>Everett Public Schools</a>,Everett Public Schools,"Parlin School, everett"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/everett.xml#schools'>Everett High</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/everett.xml'>Everett Public Schools</a>,Everett Public Schools,"Everett High, everett"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/excelacademycharter.xml#schools'>Excel Academy Charter School</a>,"<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/excelacademycharter.xml'>Excel Academy Charter, East Boston</a>","Excel Academy Charter, East Boston","Excel Academy Charter School, excelacademycharter"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/excelacademycharterschoolbostonii.xml#schools'>Excel Academy Charter School - Boston II</a>,"<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/excelacademycharterschoolbostonii.xml'>Excel Academy Charter, Orient Heights</a>","Excel Academy Charter, Orient Heights","Excel Academy Charter School - Boston II, excelacademycharterschoolbostonii"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/excelacademycharterschoolchelsea.xml#schools'>Excel Academy Charter School - Chelsea</a>,"<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/excelacademycharterschoolchelsea.xml'>Excel Academy Charter, Chelsea</a>","Excel Academy Charter, Chelsea","Excel Academy Charter School - Chelsea, excelacademycharterschoolchelsea"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/fairhaven.xml#schools'>East Fairhaven</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/fairhaven.xml'>Fairhaven Public Schools</a>,Fairhaven Public Schools,"East Fairhaven, fairhaven"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/fairhaven.xml#schools'>Leroy Wood</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/fairhaven.xml'>Fairhaven Public Schools</a>,Fairhaven Public Schools,"Leroy Wood, fairhaven"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/fairhaven.xml#schools'>Hastings Middle</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/fairhaven.xml'>Fairhaven Public Schools</a>,Fairhaven Public Schools,"Hastings Middle, fairhaven"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/fairhaven.xml#schools'>Fairhaven High</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/fairhaven.xml'>Fairhaven Public Schools</a>,Fairhaven Public Schools,"Fairhaven High, fairhaven"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/fallriver.xml#schools'>North End Elementary</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/fallriver.xml'>Fall River Public Schools</a>,Fall River Public Schools,"North End Elementary, fallriver"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/fallriver.xml#schools'>Carlton M. Viveiros Elementary School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/fallriver.xml'>Fall River Public Schools</a>,Fall River Public Schools,"Carlton M. Viveiros Elementary School, fallriver"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/fallriver.xml#schools'>Mary Fonseca Elementary School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/fallriver.xml'>Fall River Public Schools</a>,Fall River Public Schools,"Mary Fonseca Elementary School, fallriver"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/fallriver.xml#schools'>Letourneau Elementary School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/fallriver.xml'>Fall River Public Schools</a>,Fall River Public Schools,"Letourneau Elementary School, fallriver"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/fallriver.xml#schools'>John J Doran</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/fallriver.xml'>Fall River Public Schools</a>,Fall River Public Schools,"John J Doran, fallriver"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/fallriver.xml#schools'>ACESE</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/fallriver.xml'>Fall River Public Schools</a>,Fall River Public Schools,"ACESE, fallriver"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/fallriver.xml#schools'>William S Greene</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/fallriver.xml'>Fall River Public Schools</a>,Fall River Public Schools,"William S Greene, fallriver"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/fallriver.xml#schools'>Spencer Borden</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/fallriver.xml'>Fall River Public Schools</a>,Fall River Public Schools,"Spencer Borden, fallriver"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/fallriver.xml#schools'>James Tansey</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/fallriver.xml'>Fall River Public Schools</a>,Fall River Public Schools,"James Tansey, fallriver"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/fallriver.xml#schools'>Samuel Watson</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/fallriver.xml'>Fall River Public Schools</a>,Fall River Public Schools,"Samuel Watson, fallriver"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/fallriver.xml#schools'>Talbot Innovation School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/fallriver.xml'>Fall River Public Schools</a>,Fall River Public Schools,"Talbot Innovation School, fallriver"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/fallriver.xml#schools'>Morton Middle</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/fallriver.xml'>Fall River Public Schools</a>,Fall River Public Schools,"Morton Middle, fallriver"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/fallriver.xml#schools'>Matthew J Kuss Middle</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/fallriver.xml'>Fall River Public Schools</a>,Fall River Public Schools,"Matthew J Kuss Middle, fallriver"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/fallriver.xml#schools'>Resiliency Preparatory School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/fallriver.xml'>Fall River Public Schools</a>,Fall River Public Schools,"Resiliency Preparatory School, fallriver"
